DU,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2014 0:00,297.830292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2014 0:00,283.295898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2014 0:00,276.794373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2014 0:00,276.209564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2014 0:00,270.944336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2014 0:00,268.191925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2014 0:00,278.661438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2014 0:00,274.782928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2015 0:00,290.938416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2015 0:00,319.989838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2015 0:00,313.958435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2015 0:00,298.841949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2015 0:00,297.868774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2015 0:00,284.162903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2015 0:00,283.327209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2015 0:00,284.824493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2015 0:00,286.213135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2015 0:00,276.15271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2015 0:00,284.89563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2015 0:00,280.643555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2016 0:00,285.631195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2016 0:00,300.783173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2016 0:00,305.744904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2016 0:00,316.30188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2016 0:00,291.218201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2016 0:00,286.075806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2016 0:00,275.574646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016 0:00,278.697723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2016 0:00,269.115875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2016 0:00,265.181458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2016 0:00,266.579803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2016 0:00,259.690521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2017 0:00,285.574829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2017 0:00,303.067596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2017 0:00,302.772949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2017 0:00,288.531677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2017 0:00,292.091034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2017 0:00,281.343719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2017 0:00,278.45459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2017 0:00,273.959534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2017 0:00,271.161469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2017 0:00,266.444153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2017 0:00,277.020538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2017 0:00,280.554321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2018 0:00,297.551849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2018 0:00,310.598907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2018 0:00,307.808289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2018 0:00,310.496887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2018 0:00,305.005615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2018 0:00,284.15979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2018 0:00,279.617371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2018 0:00,277.526642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2018 0:00,275.125854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2018 0:00,274.035461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2018 0:00,267.000763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2018 0:00,265.467163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2019 0:00,264.280579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2019 0:00,287.609283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2019 0:00,311.772247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2019 0:00,301.466553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2019 0:00,298.270752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2019 0:00,281.898315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019 0:00,277.407623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2019 0:00,278.340363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2019 0:00,268.922241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2019 0:00,273.74646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2019 0:00,283.121613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2019 0:00,291.291107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020 0:00,314.325104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2020 0:00,301.120331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2020 0:00,311.385559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2020 0:00,310.006134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2020 0:00,290.404877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2020 0:00,274.196869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2020 0:00,273.689209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2020 0:00,270.408783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
